食物,链接,热量
"
酸奶（果粒），又叫果粒酸奶
",http://www.boohee.com/shiwu/suannai_guoli,97 大卡(每100毫升)
"
蒙牛 高钙牛奶，又叫蒙牛袋装高钙牛奶
",http://www.boohee.com/shiwu/mengniugaogainiunai,59 大卡(每100毫升)
"
脱脂牛奶，又叫脱脂奶
",http://www.boohee.com/shiwu/niuru_tuozhi_pamalate,33 大卡(每100毫升)
"
光明 e+益生菌酸牛奶（原味）220ml ...
",http://www.boohee.com/shiwu/guangmingeyishengjunsuanniunai_yuanwei,45 大卡(每100毫升)
"
低脂牛奶，又叫低脂奶 脱脂奶
",http://www.boohee.com/shiwu/niuru_bufentuozhi_pamalate,43 大卡(每100毫升)
"
早餐奶
",http://www.boohee.com/shiwu/zaocannai,68 大卡(每100毫升)
"
酸奶（高蛋白）
",http://www.boohee.com/shiwu/suannai_gaodanbai,62 大卡(每100毫升)
"
奶片
",http://www.boohee.com/shiwu/naipian,472 大卡(每100克)
"
全脂牛奶粉
",http://www.boohee.com/shiwu/quanzhiniunaifen,478 大卡(每100克)
"
光明 纯牛奶，又叫光明牛奶
",http://www.boohee.com/shiwu/fded1a79,66 大卡(每100毫升)
"
牛肉面，又叫兰州拉面、牛腩面、牛肉拌面
",http://www.boohee.com/shiwu/niuroumian,127 大卡(每100克)
"
炒上海青，又叫炒青菜
",http://www.boohee.com/shiwu/chaoqingcai,53 大卡(每100克)
"
番茄炒蛋，又叫番茄炒鸡蛋、西红柿炒蛋、西红...
",http://www.boohee.com/shiwu/fanqiechaodan,85 大卡(每100克)
"
吐司面包，又叫吐司、白吐司、面包片、切片面...
",http://www.boohee.com/shiwu/zizhitusi,278 大卡(每100克)
"
鸡蛋羹，又叫蒸蛋
",http://www.boohee.com/shiwu/qingzhengjidangeng,62 大卡(每100克)
"
绿豆汤
",http://www.boohee.com/shiwu/lvdoutang,46 大卡(每100克)
"
素炒小白菜，又叫小青菜
",http://www.boohee.com/shiwu/suchaoxiaobaicai,46 大卡(每100克)
"
烧茄子
",http://www.boohee.com/shiwu/shaoqiezi,74 大卡(每100克)
"
绿豆粥
",http://www.boohee.com/shiwu/lvdouzhou,48 大卡(每100毫升)
"
香菇青菜包，又叫香菇菜包、菜包子、素包子、...
",http://www.boohee.com/shiwu/xiangguqingcaibaozi,160 大卡(每100克)
"
卤蛋，又叫卤鸡蛋
",http://www.boohee.com/shiwu/lujidan,148 大卡(每100克)
"
清炒土豆丝
",http://www.boohee.com/shiwu/qingchaotudousi,95 大卡(每100克)
"
清爽西兰花
",http://www.boohee.com/shiwu/qingshuangxilanhua,63 大卡(每100克)
"
烧麦，又叫烧卖、糯米烧卖
",http://www.boohee.com/shiwu/shaomai,220 大卡(每100克)
"
炒大白菜，又叫大白菜
",http://www.boohee.com/shiwu/chaodabaicai,53 大卡(每100克)
"
西红柿鸡蛋汤，又叫西红柿蛋汤
",http://www.boohee.com/shiwu/xihongshijidantang,32 大卡(每100克)
"
大饼，又叫饼，家常饼，死面饼
",http://www.boohee.com/shiwu/dabing,215 大卡(每100克)
"
清蒸鱼，又叫清蒸鱼、蒸鱼、鱼、蒸洄鱼
",http://www.boohee.com/shiwu/qingzhengyu,105 大卡(每100克)
"
酸菜鱼，又叫酸汤鱼、酸辣鱼
",http://www.boohee.com/shiwu/suancaiyu,98 大卡(每100克)
"
寿司 自制1，又叫寿司卷
",http://www.boohee.com/shiwu/shousijuanhihifebruaryzizhi,141 大卡(每100克)
"
蛋炒饭，又叫黄金炒饭、蛋炒饭
",http://www.boohee.com/shiwu/danchaofan,143 大卡(每100克)
"
红烧鳓鱼
",http://www.boohee.com/shiwu/hongshaoyu,216 大卡(每100克)
"
盐水虾，又叫焖鲜虾
",http://www.boohee.com/shiwu/yanshuixia,92 大卡(每100克)
"
炒绿豆芽，又叫有机活体豆苗
",http://www.boohee.com/shiwu/chaolvdouya,44 大卡(每100克)
"
葱油饼，又叫葱花饼、葱油饼
",http://www.boohee.com/shiwu/congyoubing,259 大卡(每100克)
"
清炒西葫芦，又叫炒西葫、西葫芦丝
",http://www.boohee.com/shiwu/qingchaoxihulu,47 大卡(每100克)
"
西红柿鸡蛋面，又叫番茄蛋面
",http://www.boohee.com/shiwu/xihongshijidanmian,98 大卡(每100克)
"
酸辣土豆丝
",http://www.boohee.com/shiwu/suanlatudousi,122 大卡(每100克)
"
红烧肉
",http://www.boohee.com/shiwu/hongshaorou,522 大卡(每100克)
"
韭菜包子
",http://www.boohee.com/shiwu/jiucaibaozi,171 大卡(每100克)
